UserID,Date,MLARateing,MPRating
YCP0001,6092024,6,8
YCP0002,7092024,5,6
YCP0003,8092024,4,5
YCP0004,9092024,3,4
YCP0005,10092024,8,3
YCP0006,11092024,6,6
YCP0007,12092024,5,5
YCP0008,13092024,4,4
YCP0009,14092024,3,3
YCP0010,15092024,6,1
YCP0011,16092024,5,2
YCP0012,17092024,4,3
YCP0013,18092024,3,5
YCP0014,8092024,1,4
YCP0015,9092024,2,3
YCP0016,11092024,3,1
YCP0017,12092024,5,2
YCP0018,13092024,4,4
YCP0019,14092024,3,3
YCP0020,15092024,1,1
YCP0021,16092024,2,2
YCP0022,16092024,3,3
YCP0023,17092024,5,5
YCP0024,18092024,4,4
YCP0025,17092024,3,3
YCP0026,18092024,1,1
YCP0027,30092024,2,2
YCP0028,7092024,3,3
YCP0029,8092024,5,5
YCP0030,9092024,4,4
YCP0031,10092024,3,8
YCP0032,11092024,1,6
YCP0033,12092024,2,5
YCP0034,13092024,3,4
YCP0035,14092024,5,3
YCP0036,7092024,4,6
YCP0037,8092024,3,5
YCP0038,9092024,1,4
YCP0039,10092024,2,3
YCP0040,11092024,3,3
YCP0041,12092024,5,5
YCP0042,13092024,4,4
YCP0043,14092024,3,3
YCP0044,15092024,1,1
YCP0045,16092024,2,2
YCP0046,7092024,3,3
YCP0047,8092024,5,5
YCP0048,9092024,4,4
YCP0049,10092024,3,3
YCP0050,11092024,1,8
YCP0051,12092024,2,6
YCP0052,13092024,3,5
YCP0053,14092024,5,4
YCP0054,15092024,4,8
YCP0055,16092024,3,6
YCP0056,17092024,5,5
YCP0057,18092024,4,4
YCP0058,8092024,3,3
YCP0059,9092024,1,6
YCP0060,10092024,2,5
YCP0061,11092024,3,4
